ID	Prompt	Response	Instruct&Context
user_oriented_task_0	The sentence you are given might be too wordy, complicated, or unclear. Rewrite the sentence and make your writing clearer by keeping it concise. Whenever possible, break complex sentences into multiple sentences and eliminate unnecessary words./n/nInput: If you have any questions about my rate or if you find it necessary to increase or decrease the scope for this project, please let me know./n/nOutput:	If you have any questions about my rate or find it necessary to increase or decrease this project's scope, please let me know.	The sentence you are given might be too wordy, complicated, or unclear. Rewrite the sentence and make your writing clearer by keeping it concise. Whenever possible, break complex sentences into multiple sentences and eliminate unnecessary words.|||Input: &&&If you have any questions about my rate or if you find it necessary to increase or decrease the scope for this project, please let me know.
user_oriented_task_1	Analyze the word choice, phrasing, punctuation, and capitalization in the given email. How may the writer of this email sound to the reader? These tones include Disheartening, Accusatory, Worried, Curious, Surprised, Disapproving, Unassuming, Formal, Assertive, Confident, Appreciative, Concerned, Sad, Informal, Regretful, Encouraging, Egocentric, Joyful, Optimistic, and Excited./n/nInput: Hi Jen, /nI hope you're well. Can we catch up today? I'd appreciate your input on my presentation for tomorrow's meeting. I'd especially love it if you could double-check the sales numbers with me. There's a coffee in it for you!/n/nOutput:	Confident	Analyze the word choice, phrasing, punctuation, and capitalization in the given email. How may the writer of this email sound to the reader? These tones include Disheartening, Accusatory, Worried, Curious, Surprised, Disapproving, Unassuming, Formal, Assertive, Confident, Appreciative, Concerned, Sad, Informal, Regretful, Encouraging, Egocentric, Joyful, Optimistic, and Excited.|||Input: &&&Hi Jen, /nI hope you're well. Can we catch up today? I'd appreciate your input on my presentation for tomorrow's meeting. I'd especially love it if you could double-check the sales numbers with me. There's a coffee in it for you!
user_oriented_task_2	Rewrite the given text and correct grammar, spelling, and punctuation errors./n/nInput: If you'd told me year ago that today I would finish a marathon, I would of laughed. Your support had a huge affect on me!/n/nOutput:	If you'd told me a year ago that today I would finish a marathon, I would have laughed. Your support had a huge effect on me!	Rewrite the given text and correct grammar, spelling, and punctuation errors.|||Input: &&&If you'd told me year ago that today I would finish a marathon, I would of laughed. Your support had a huge affect on me!
user_oriented_task_3	You are given a paper citation, convert it to the requested citation style./n/nInput: Chicago: Vaswani, Ashish, Shazeer, Noam, Parmar, Niki, Uszkoreit, Jakob, Jones, Llion, Gomez, Aidan N., Kaiser, Lukasz, and Illia Polosukhin. "Attention Is All You Need." arXiv, (2017). https://doi.org/10.48550/arXiv.1706.03762./nMLA:/n/nOutput:	Vaswani, Ashish, et al. "Attention Is All You Need." arXiv, 2017,  https://doi.org/10.48550/arXiv.1706.03762.	MLA:&&&Vaswani, Ashish, Shazeer, Noam, Parmar, Niki, Uszkoreit, Jakob, Jones, Llion, Gomez, Aidan N., Kaiser, Lukasz, and Illia Polosukhin. "Attention Is All You Need." arXiv, (2017). https://doi.org/10.48550/arXiv.1706.03762.
user_oriented_task_4	Desk jobs require writing a lot of emails, so it isn't surprising we get tired of repeating ourselves. Come up with several synonyms for the given word./n/nInput: Sincerely/n/nOutput:	Best regards, All the best, Cheers, Best	Desk jobs require writing a lot of emails, so it isn't surprising we get tired of repeating ourselves. Come up with several synonyms|||Sincerely
user_oriented_task_5	If you could help me write an email to my friends inviting them to dinner on Friday, it would be greatly appreciated.	Hi there,/n/nI hope you're all doing well. I'm inviting you over for dinner on Friday night. Please let me know if you can make it. I'll be cooking your favorite dishes!/n/nLooking forward to seeing you,	If you could help me write an email to my friends inviting them to dinner on Friday,
user_oriented_task_6	The tone of the email should be changed and rewritten in a more professional manner./n/nInput: Subject: Asking for Vacation Time/nHi [Employer], /nI hope all is well. I am writing to request a day off on [date]. I have already taken care of my work responsibilities for that day and will be available to answer any questions or concerns you may have. /nThank you for your time, /n[Your name]/n/nOutput:	Subject: Request for Vacation Time/nHello [Employer],/nI am writing to request vacation time from work. I would like to take [Number of Days] off, starting on [Date]. I will be sure to complete all of my work before taking my vacation, and I will be available by email if anything comes up while I'm away. Thank you for your consideration./n[Your name]	The tone of the email should be changed and rewritten in a more professional manner.|||Input: &&&Subject: Asking for Vacation Time/nHi [Employer], /nI hope all is well. I am writing to request a day off on [date]. I have already taken care of my work responsibilities for that day and will be available to answer any questions or concerns you may have. /nThank you for your time, /n[Your name]
user_oriented_task_7	Write a social media post about the call for collaboration on a crowdsourcing project in a persuasive way.	Looking for collaborators on a new crowdsourcing project! This is a great opportunity to get involved in something innovative and impactful. If you're interested, please let me know.	Write a social media post about the call for collaboration on a crowdsourcing project in a persuasive way.
user_oriented_task_8	My favorite witty review of The Rings of Power series is this:	The Rings of Power series is one of the best things to come out of Middle Earth since, well, the Ring itself! If you're a fan of fantasy, adventure, and intrigue, then this is definitely the series for you. The characters are richly drawn and the plot is twisty and full of surprises. I can't recommend it highly enough!	My favorite witty review of The Rings of Power series is this:
user_oriented_task_9	A helpful writing exercise is writing a story without using adjectives or adverbs. This will help you learn to use other words and phrases to describe what you are trying to say. Here are some examples:	The trees were silhouetted against the sky. The wind was blowing. The leaves were rustling. The grass was waving. The flowers were nodding. The birds were singing. The bees were buzzing. The squirrels were running. The rabbits were hopping. The deer were grazing. The wolves were howling. The moon was rising. The stars were shining.	A helpful writing exercise is writing a story without using adjectives or adverbs.|||Here are some examples:
